NAME,LOCATION,TYPE,LAT,LON,website,picture
Taj_Mahal,Agra,Monumnet,27.174547,78.041984,https://en.wikipedia.org/wiki/Taj_Mahal,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Taj_Mahal%2C_Agra%2C_India_edit3.jpg/1280px-Taj_Mahal%2C_Agra%2C_India_edit3.jpg
Lotus_Temple,Delhi,Monument,28.553426,77.259105,https://en.wikipedia.org/wiki/Lotus_Temple,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/LotusDelhi.jpg/360px-LotusDelhi.jpg
Mysore_Palace,Karnataka,Monument,12.305228,76.654958,https://en.wikipedia.org/wiki/Mysore_Palace,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Mysore_Palace_Morning.jpg/360px-Mysore_Palace_Morning.jpg
Hawa_Mahal,Jaipur,Monument,26.871401,75.695938,https://en.wikipedia.org/wiki/Hawa_Mahal,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/20191218_Pa%C5%82ac_Wiatr%C3%B3w_w_Jaipurze_1129_9124.jpg/360px-20191218_Pa%C5%82ac_Wiatr%C3%B3w_w_Jaipurze_1129_9124.jpg
Sanchi_Stupa,MadhyaPradesh,Monument,23.47933,77.739832,https://en.wikipedia.org/wiki/Sanchi,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/East_Gateway_-_Stupa_1_-_Sanchi_Hill_2013-02-21_4398.JPG/360px-East_Gateway_-_Stupa_1_-_Sanchi_Hill_2013-02-21_4398.JPG
Qutub_Minar,Delhi,Monument,28.524532,77.185306,https://en.wikipedia.org/wiki/Qutb_Minar,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Qutub_Minar_932.jpg/180px-Qutub_Minar_932.jpg
Victoria_Memorial,Kolkata,Monument,22.545155,88.342933,"https://en.wikipedia.org/wiki/Victoria_Memorial,_Kolkata",https://en.wikipedia.org/wiki/File:Victoria_Memorial_situated_in_Kolkata.jpg
Gateway_of_India,Mumbai,Monument,18.922102,72.83454,https://en.wikipedia.org/wiki/Gateway_of_India,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Mumbai_03-2016_30_Gateway_of_India.jpg/360px-Mumbai_03-2016_30_Gateway_of_India.jpg
Charminar,Hyderabad,Monument,17.353873,78.477264,https://en.wikipedia.org/wiki/Charminar,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Charminar-Pride_of_Hyderabad.jpg/330px-Charminar-Pride_of_Hyderabad.jpg
Chhatrapati_Shivaji_Terminus,Mumbai,Monument,18.939893,72.835265,https://en.wikipedia.org/wiki/Chhatrapati_Shivaji_Terminus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Chhatrapati_shivaji_terminus%2C_esterno_01.jpg/525px-Chhatrapati_shivaji_terminus%2C_esterno_01.jpg
White_Water_Rafting,Rishikesh,Adventure-Sport,30.054243,78.21999,https://en.wikipedia.org/wiki/Rishikesh,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Rafting_in_rishikesh.jpg/330px-Rafting_in_rishikesh.jpg
Skiing,Auli,Adventure-Sport,30.537729,79.565313,"https://en.wikipedia.org/wiki/Auli,_India",https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Auli_Himalayas.jpg/375px-Auli_Himalayas.jpg
